seq,seqn,word,phonetic,exchange,trans,,,,
36,36/1533,hatch,英[hætʃ],,v.孵化;密谋n.孵化,,,,
37,37/1533,improve,英[im'pru:v],,v.改善;改进;进步,,,,
38,38/1533,dare,英[dєә],,v.敢;胆敢,,,,
39,39/1533,entitle,英[in'taitl],,v.给....称号;尊称;授权,,,,
40,40/1533,prefer,英[pri'fә:],,v.更喜欢;宁愿,,,,
41,41/1533,update,英[ʌp'deit],,v.更新;迭代,,,,
42,42/1533,purchase,英['pә:tʃәs],,v.购买n.购买;所购物品,,,,
43,43/1533,evaluate,英[i'væljueit],,v.评估;评价,,,,
44,44/1533,observe,英[әb'zә:v],,v.观察;注意到;遵守,,,,
45,45/1533,pour,英[pɒ:],,v.灌注;倾泻;下倾盆大同,,,,
46,46/1533,roll,英[rәul],,v.滚动n.卷;名单,,,,
47,47/1533,wrap,英[ræp],,v.裹;缠绕n.披肩,,,,
48,48/1533,suit,英[sju:t. su:t],,v.适合n.套装;西服,,,,
49,49/1533,cooperate,英[kәu'ɒpәreit],,v.合作;协作,,,,
50,50/1533,breathe,英[bri:ð],,v.呼吸;呼气,,,,
51,51/1533,slip,英[slip],,v.滑过;滑倒n.滑行
52,52/1533,slide,英[slaid],,v.滑动n.滑坡;幻灯片,,,,
53,53/1533,restore,英[ri'stɒ:],,v.恢复;归还;修复,,,,
54,54/1533,respond,英[ri'spɒnd],,v.答复;回答;响应,,,,
55,55/1533,recall,英[ri'kɒ:l],,v.&n.回忆;召回,,,,
56,56/1533,ruin,英[ruin],,v.毁灭;破产n.废墟,,,,
57,57/1533,obtain,英[әb'tein],,v.获得;得到,,,,
58,58/1533,acquire,英[ә'kwaiә],,v.获得;学到;并购,,,,
59,59/1533,gain,英[gein],,v.获得;受益n.收益,,,,
60,60/1533,concentrate,英['kɒnsәntreit],,v.集中;专心;浓缩n.浓缩,,,,
61,61/1533,calculate,英['kælkjuleit],,v.计算;预测,,,,
62,62/1533,strengthen,英['streŋθәn],,v.加强;巩固;改善,,,,
63,63/1533,pretend,英[pri'tend],,v.假装;借口;装扮,,,,
64,64/1533,examine,英[ig'zæmin],,v.检查;审查;考试,,,,
65,65/1533,ease,英[i:z],,v.&n.减轻;缓和;放松,,,,
66,66/1533,reduce,英[ri'dju:s],,v.减少;降低;简化,,,,
67,67/1533,establish,英[i'stæbliʃ],,v.建立;创办,,,,
68,68/1533,identify,英[ai'dentifai],,v.识别;确定;表明身份,,,,
69,69/1533,deliver,英[di'livә],,v.交付;发表;递送,,,,
70,70/1533,conclude,英[kәn'klu:d],,v.推断;决定;作结论,,,,
71,71/1533,proceed,英[prәu'si:d],,v.继续进行;前进;开始,,,,
72,72/1533,prohibit,英[prә'hibit],,v.禁止;阻止,,,,
73,73/1533,refresh,英[ri'freʃ],,v.更新;使恢复;刷新,,,,
74,74/1533,chew,英[tʃu:],,v.咀嚼;深思,,,,
75,75/1533,illustrate,英['ilәstreit],,v.说明;举例说明;加插图,,,,
76,76/1533,behave,英[bi'heiv],,v.举止;表现;做出反应,,,,
77,77/1533,reject,英[ri'dʒekt],,v.拒绝;丢弃n.次品,,,,
78,78/1533,qualify,英['kwɒlifai],,v.具有资格;使合格,,,,
79,79/1533,gather,英['gæðә],,v.聚集;积聚;收集,,,,
80,80/1533,involve,英[in'vɒlv],,v.使卷入;涉及;参与,,,,
81,81/1533,resolve,英[ri'zɒlv],,v.解决;下决心;分解,,,,
82,82/1533,determine,英[di'tә:min],,v.下决心;确定;判定,,,,
83,83/1533,explore,英[ik'splɒ:],,v.勘探;探测;探索,,,,
84,84/1533,roast,英[rәust],,v.烤;炙;烘,,,,
85,85/1533,approach,英[ә'prәutʃ],,v.接近n.方法;途径,,,,
86,86/1533,threaten,英['θretn],,v.恐吓;城胁,,,,
87,87/1533,weep,英[wi:p],,v.流泪n.哭泣,,,,
88,88/1533,pack,英[pæk],,v.捆扎;塞满n.包裹,,,,
89,89/1533,quit,英[kwit],,v.离开;放弃;辞职,,,,
90,90/1533,ought,英[ˈɔːt],,v.应该;应当,,,,
91,91/1533,link,英[liŋk],,v.连接;联合n.环节,,,,
92,92/1533,combine,英[kәm'bain],,v.联合;结合,,,,
93,93/1533,flow,英[flәu],,v.流;流动n.流量,,,,
94,94/1533,demonstrate,英['demәnstreit],,v.证明;演示;论证,,,,
95,95/1533,bury,英['beri],,v.埋葬;埋藏,,,,
96,96/1533,wander,英['wɒndә],,v.徘徊;闲逛;漫步,,,,
97,97/1533,jog,英[dʒɒg],,v.慢跑,,,,
98,98/1533,dismiss,英[dis'mis],,v.解散;解雇;开除,,,,
99,99/1533,represent,英[.repri'zent],,v.代表;表示,,,,
100,100/1533,polish,英['pɒliʃ],,v.磨光;润色n.抛光剂,,,,
101,101/1533,clap,英[klæp],,v.&n.鼓掌;拍手,,,,
102,102/1533,accompany,英[ә'kʌmpәni],,v.陪伴;伴随;伴奏
103,103/1533,expand,英[ik'spænd],,v.膨胀;扩大;展开,,,,
104,104/1533,criticise,英['kritisaiz],(criticize),v.批评;批判,,,,
105,105/1533,destroy,英[di'strɒi],,v.破坏;摧毁,,,,
106,106/1533,cheat,英[tʃiːt],,v.欺骗; 作弊; n.骗子,,,,
107,107/1533,owe,英[әu],,v.欠;归功于,,,,
108,108/1533,pray,英[prei],,v.请求;祈祷,,,,
109,109/1533,distinguish,英[dis'tiŋgwiʃ],,v.区别;辨别;使...有特色,,,,
110,110/1533,tend,英[tend],,v.趋向于;往往是;照顾,,,,
111,111/1533,fetch,英[fetʃ],,v.取来;接来n.取得,,,,
112,112/1533,ban,英[bæn],,v.取缔n.禁止;禁令,,,,
113,113/1533,go,英[gou],,v.走;变得n.围棋,,,,
114,114/1533,ensure,英[in'ʃuә],,V.确保;担保,,,,
115,115/1533,disturb,英[dis'tә:b],,V.扰乱;妨碍;使不安,,,,
116,116/1533,recognise,英['rekә^naiz],(recognize),V.认出;承认;认可,,,,
117,117/1533,negotiate,英[ni'gәuʃieit],,v.商订;谈判,,,,
118,118/1533,concern,英[kәn'sә:n],,V.涉及;关系到n.关心,,,,
119,119/1533,stretch,英[stretʃ],,V.伸展n.拉长,,,,
120,120/1533,upset,英[ʌp'set],,V.使心烦a.心烦的;难过的,,,,
121,121/1533,expose,英[ik'spәuz],,v.揭发;显示;曝光,,,,
122,122/1533,facilitate,英[fә'siliteit],,使容易;使便利,,,,
123,123/1533,addict,英[ә'dikt],,v.沉溺于;使上瘾n.上瘾者,,,,
124,124/1533,submit,英[sәb'mit],,v.提交;服从,,,,
125,125/1533,confirm,英[kәn'fә:m],,n.确认;确定;证实,,,,
126,126/1533,freeze,英[fri:z],,v.结冰;凝固,,,,
127,127/1533,enable,英[i'neibl],,v.使能够;使成为可能,,,,
128,128/1533,highlight,英['hailait],,v.强调;使显著n.重要部分,,,,
129,129/1533,convince,英[kәn'vins],,v.说服;使信服;使确信,,,,
130,130/1533,release,英[ri'li:s],,v.释放;发布,,,,
131,131/1533,withdraw,英[wið'drɒ:],,v.退出;撤销;取钱,,,,
132,132/1533,recover,英[ri'kʌvә],,v.恢复;重新获得,,,,
133,133/1533,suffer,英['sʌfә],,v.遭受;忍受;经历,,,,
134,134/1533,belong,英[bi'lɒŋ],,v.属于;附属于,,,,
135,135/1533,persuade,英[pә'sweid],,v.劝说;使相信,,,,
136,136/1533,charge,英[tʃɑ:dʒ],,v.充电;控告n.费用,,,,
137,137/1533,enhance,英[in'hæns],,v.提高;增强,,,,
138,138/1533,remind,英[ri'maind],,v.使想起,,,,
139,139/1533,shave,英[ʃeiv],,v.刮胡子n.刮脸,,,,
140,140/1533,shift,英[ʃift],,v.移动;转变n.移位,,,,
141,141/1533,investigate,英[in'vestigeit],,v.调查;研究,,,,
142,142/1533,correspond,英[.kɒri'spɒnd],,v.相符合;相似于;通信,,,,
143,143/1533,cast,英[kɑ:st. kæst],,v.铸造;投掷n.阵容,,,,
144,144/1533,postpone,英[pәust'pәun],,v.推迟;延期,,,,
145,145/1533,recommend,英[.rekә'mend],,v.推荐;劝告;建议,,,,
146,146/1533,infer,英[in'fә:],,v.推论;推断,,,,
147,147/1533,retire,英[ri'taiә],,V.退休;退却:就寝,,,,
148,148/1533,drag,英[dræg],,v.拖拽n.拖:拖累,,,,
149,149/1533,maintain,英[mein'tein],,v.保持:坚持;保养;,,,,
150,150/1533,attach,英[ә'tætʃ],,v.使...依附;贴上,,,,
151,151/1533,sink,英[siŋk],,v.下沉;下落n.水槽,,,,
152,152/1533,restrict,英[ri'strikt],,v.限制;约束,,,,
153,153/1533,leak,英[li:k],,v.&n泄漏;透漏;n.漏洞
154,154/1533,survive,英[sә'vaiv],,v.生存;幸存;幸免于,,,,
155,155/1533,revise,英[ri'vaiz],,v.&n.修订;校正(考前)复习,,,,
156,156/1533,permit,英[pә'mit],,v.允许;许可n.许可证,,,,
157,157/1533,relate,英[ri'leit],,v.与...相联系;与...有关,,,,
158,158/1533,declare,英[di'klєә],,v.宣布;断言;声明,,,,
159,159/1533,suspend,英[sә'spend],,v.悬挂;暂停;使停职,,,,
160,160/1533,select,英[si'lekt],,v.选择;精选a.精选的,,,,
161,161/1533,seek,英[si:k],,v.寻找;谋求,,,,
162,162/1533,inquire,英[in'kwaiә],,v.询问;打听;问讯,,,,
163,163/1533,depress,英[di'pres],,v.使沮丧;(经济)不景气;降低,,,,
164,164/1533,press,英[pres],,v.按;压n.新闻界;出版社,,,,
165,165/1533,extend,英[ik'stend],,v.延长;扩充,,,,
166,166/1533,swing,英[swiŋ],,v.摇摆;转弯n.秋千,,,,
167,167/1533,rely,英[ri'lai],,v.信任;依赖,,,,
168,168/1533,remove,英[ri'mu:v],,v.移动;清除;脱衣服,,,,
169,169/1533,imply,英[im'plai],,v.暗示;暗指,,,,
170,170/1533,quote,英[kwәut],,v.&n.引用;引述,,,,
171,171/1533,cite,英[sait],,v.引用;引证;举例,,,,
172,172/1533,impress,英[im'pres],,v.给...留下印象;使钦佩,,,,
173,173/1533,deserve,英[di'zә:v],,v.应得;应受;值得,,,,
174,174/1533,hesitate,英['heziteit],,v.犹豫;含糊,,,,
175,175/1533,fry,英[frai],,v.油煎;油炸,,,,
176,176/1533,differ,英['difә],,v.不同于;有意见分歧,,,,
177,177/1533,prevent,英[pri'vent],,v.阻止;预防,,,,
178,178/1533,predict,英[pri'dikt],,v.预言;预测;预告,,,,
179,179/1533,forgive,英[fә'giv],,v.原谅;饶恕,,,,
180,180/1533,transport,英[træns'pɒ:t],,v.&n.运输;运送,,,,
181,181/1533,consist,英[kәn'sist],,v.由...组成;存在于,,,,
182,182/1533,approve,英[ә'pru:v],,v.批准;认可;赞成,,,,
183,183/1533,blame,英[bleim],,v.责备;归咎于n.责任;责备,,,,
184,184/1533,reveal,英[ri'vi:l],,v.揭示;透漏;展示,,,,
185,185/1533,occupy,英['ɒkjupai],,v.占用;占领;使忙于,,,,
186,186/1533,overcome,英[.әuvә'kʌm],,v.克服;战胜,,,,
187,187/1533,fold,英[fәuld],,v.折叠n.折痕,,,,
188,188/1533,announce,英[ә'nauns],,v.正式宣布;通告,,,,
189,189/1533,prove,英[pru:v],,v.证明;证实;检验,,,,
190,190/1533,justify,英['dʒʌstifai],,v.证明合法;使两端对齐,,,,
191,191/1533,dominate,英['dɒmineit],,v.支配;统治;占优势,,,,
192,192/1533,indicate,英['indikeit],,v.表明;暗示;指出,,,,
193,193/1533,cure,英[kjuә],,v.&n.治疗;治愈,,,,
194,194/1533,greet,英[gri:t],,V.欢迎;迎接;问候,,,,
195,195/1533,choke,英[tʃәuk],,V.窒息;噎住,,,,
196,196/1533,relay,英['ri:lei],,v.转发;转播n.接力赛,,,,
197,197/1533,interrupt,英[.intә'rʌpt],,v.打断;中断;阻碍,,,,
198,198/1533,boil,英[bɒil],,v.&n.煮沸;沸腾,,,,
199,199/1533,bless,英[bles],,v.祝福;保佑,,,,
200,200/1533,seize,英[si:z],,v.抓住;夺取;逮捕,,,,
201,201/1533,earn,英[ә:n],,v.赚得;获得,,,,
202,202/1533,decorate,英['dekәreit],,v.装饰;布置;装修,,,,
203,203/1533,load,英[lәud],,v.使...负担;加载n.负担,,,,
204,204/1533,pursue,英[pә'sju:],,v.追求;贯彻;从事
205,205/1533,rent,英[rent],,v.租赁n.租金,,,,
206,206/1533,compose,英[kәm'pәuz],,v.组成;创作,,,,
207,207/1533,appeal,英[ә'pi:l],,v.&n.呼吁;申诉,,,,
208,208/1533,compete,英[kәm'pi:t],,v.比赛;竞争;对抗,,,,
209,209/1533,argue,英['ɑ:gju],,v.辩论;争论,,,,
210,210/1533,sneeze,英[sni:z],,v.打喷嚏n.喷嚏,,,,
211,211/1533,subscribe,英[sәb'skraib],,v.订阅;捐助,,,,
212,212/1533,bark,英[bɑ:k],,v.狗叫n.狗吠声,,,,
213,213/1533,insist,英[in'sist],,v.坚持;要求,,,,
214,214/1533,skip,英[skip],,v.略过;跳过n.跳跃,,,,
215,215/1533,apply,英[ә'plai],,v.申请;应用;适用,,,,
216,216/1533,ache,英[eik],,v.&n.疼痛,,,,
217,217/1533,apologise,英[ә'pɔlәdʒaiz],(apologize),v.道歉,,,,
218,218/1533,abuse,英[ә'bju:s.ә'bju:z],,v.&n.滥用;虐待;辱骂,,,,
219,219/1533,comprise,英[kәm'praiz],,v.包括;由……组成,,,,
220,220/1533,surround,英[sә'raund],,V.包围;环绕a.环绕立体声的,,,,
221,221/1533,adopt,英[ә'dɒpt],,v.采用;选定;收养,,,,
222,222/1533,generate,英['dʒenәreit],,V.造成;产生;创造,,,,
223,223/1533,acknowledge,英[әk'nɒlidʒ],,V.承认;感谢,,,,
224,224/1533,motivate,英['mәutiveit],,V.促动;激励;使有动机,,,,
225,225/1533,urge,英[ә:dʒ],,V.激励;催促n.强烈欲望,,,,
226,226/1533,attain,英[ә'tein],,V.达到;实现;获得,,,,
227,227/1533,bother,英['bɒðә],,v.打扰;麻烦n.烦恼,,,,
228,228/1533,abandon,英[ә'bændәn],,V.抛弃;放弃,,,,
229,229/1533,analyse,英['ænәlaiz],(analyze),V.分析.;分解,,,,
230,230/1533,transform,英[træns'fɒ:m],,V.转换;转变;彻底改变,,,,
231,231/1533,vary,英['vєәri],,V.变化;改变;使多样化,,,,
232,232/1533,advertise,英['ædvәtaiz],,v.做广告;通告,,,,
233,233/1533,inspire,英[in'spaiә],,v.鼓舞;激励;激起(情感),,,,
234,234/1533,applaud,英[ә'plɒ:d],,v.鼓掌欢迎;夸赞,,,,
235,235/1533,assume,英[ә'sju:m],,V.假定;承担;假装,,,,
236,236/1533,found,英[faund],,v.建立;创立,,,,
237,237/1533,interpret,英[in'tә:prit],,v.解释;说明;口译,,,,
238,238/1533,accuse,英[ә'kju:z],,v.控告;指责;指控,,,,
239,239/1533,assign,英[ә'sain],,V.分配;分派,,,,
240,240/1533,assess,英[ә'ses],,V.评定;估价,,,,
241,241/1533,attempt,英[ә'tempt],,V.&n.试图;尝试,,,,
242,242/1533,admire,英[әd'maiә],,v.钦佩;称赞;羡慕,,,,
243,243/1533,replace,英[ri'pleis],,v.取代;替换;接替,,,,
244,244/1533,tolerate,英['tɒlәreit],,v.容忍;忍受;经受(困难),,,,
245,245/1533,delete,英[di'li:t],,V.删除,,,,
246,246/1533,bleed,英[bli:d],,V.流血;榨取(钱财),,,,
247,247/1533,astonish,英[ә'stɒniʃ],,v.使惊讶;使吃惊,,,,
248,248/1533,annoy,英[ә'nɒi],,V.使恼怒;骚扰;打搅,,,,
249,249/1533,adapt,英[ә'dæpt],,V.适应;改编,,,,
250,250/1533,award,英[ә'wɒ:d],,V.授予;奖励n.奖品,,,,
251,251/1533,donate,英['dәuneit],,v.捐赠;赠予,,,,
252,252/1533,adjust,英[ә'dʒʌst],,V.调节;(使)适应;校准,,,,
253,253/1533,appreciate,英[ә'pri:ʃieit],,V.感激;欣赏;赏识,,,,
254,254/1533,amuse,英[ә'mju:z],,v.娱乐;消遣;逗乐,,,,
255,255/1533,absorb,英[әb'sɒ:b],,v.吸收;吸引;使全神贯注
256,256/1533,settle,英['setl],,v.安顿;定居;解决,,,,
257,257/1533,commit,英[kә'mit],,v.犯罪;委托;保证,,,,
258,258/1533,regard,英[ri'gɑ:d],,v.看作;考虑n.问候,,,,
259,259/1533,contain,英[kәn'tein],,v.包含;容纳;包括,,,,
260,260/1533,preserve,英[pri'zә:v],,v.保护;维持;保存,,,,
261,261/1533,complain,英[kәm'plein],,v.抱怨;申诉,,,,
262,262/1533,erupt,英[i'rʌpt],,v.爆发;喷出;长牙,,,,
263,263/1533,explode,英[ik'splәud],,v.爆炸;爆发;急剧增长,,,,
264,264/1533,recite,英[ri'sait],,v.背诵;朗诵,,,,
265,265/1533,sow,英[sau. sәu],,V.播种;散布,,,,
266,266/1533,disappear,英[.disә'piә],,V.失踪;消失,,,,
267,267/1533,realise,英['riәlaiz],(realize),v.意识到;明白;实现,,,,
268,268/1533,make,英[meik],,v.制作;做;引起,,,,
269,269/1533,attract,英[ә'trækt],,v.吸引;诱惑;引人注意,,,,
270,270/1533,download,英[ˌdaʊnˈləʊd;ˈdaʊnləʊd],,v.下载n.下载,,,,
271,271/1533,emerge,英[i'mә:dʒ],,v.出现;浮现;暴露,,,,
272,272/1533,intend,英[in'tend],,v.企图;想要;打算,,,,
273,273/1533,consume,英[kәn'sju:m],,v.消费;消耗;耗尽,,,,
274,274/1533,digest,英[di'dʒest],,v.消化;吸收n.文摘,,,,
275,275/1533,affect,英[ә'fekt],,v.影响;感染;感动,,,,
276,276/1533,anticipate,英[æn'tisipeit],,v.预期;期望;预见,,,,
277,277/1533,sustain,英[sә'stein],,v.维持;支撑;遭受,,,,
278,278/1533,have,英[hæv],(has),aux.v.已经;曾经v.有,,,,
279,279/1533,be,英[bi],(am;are;is),aux.v.&v.是;在;有,,,,
280,280/1533,can,英[kæn],,aux.v.能;可以n.罐头v.把……装罐,,,,
281,281/1533,supply,英[sә'plai],,v.&n.供给;供应;补足,,,,
282,282/1533,grab,英[græb],,v.&n.抓住;夺得,,,,
283,283/1533,display,英[dis'plei],,v.展览;展览n.显示,,,,
284,284/1533,hunt,英[hʌnt],,v.&n.打猎;搜索;寻找,,,,
285,285/1533,delay,英[di'lei],,v.&n.耽搁;延迟,,,,
286,286/1533,collapse,英[kә'læps],,v.&n.倒塌;崩溃;暴跌,,,,
287,287/1533,reform,英[ri'fɒ:m],,v.&n.改革;改造a.改革的,,,,
288,288/1533,attack,英[ә'tæk],,v.&n.攻击;袭击,,,,
289,289/1533,estimate,英['estimeit],,v.&n.估计;估价;评估,,,,
290,290/1533,broadcast,英['brɒ:dkæst],,v.&n.广播;播放,,,,
291,291/1533,scream,英[skri:m],,v.&n.尖叫;惊叫,,,,
292,292/1533,exchange,英[iks'tʃeindʒ],,v.&n.交换;(货币)兑换;交流,,,,
293,293/1533,contact,英['kɒntækt],,v.&n.接触;联系;交往,,,,
294,294/1533,import,英[im'pɒ:t],,v.&n.进口;输入,,,,
295,295/1533,bow,英[bәu.bau],,v.鞠躬;低头n.弓形,,,,
296,296/1533,drill,英[dril],,v.&n.钻孔;训练,,,,
297,297/1533,murder,英['mә:dә],,v.&n.谋杀;凶杀,,,,
298,298/1533,crash,英[kræʃ],,v.&n.碰撞;坠落;失事,,,,
299,299/1533,dive,英[daiv],,v.&n.潜水;跳水;俯冲,,,,
300,300/1533,request,英[ri'kwest],,v.&n.请求;要求,,,,
301,301/1533,hug,英[hʌg],,v.&n.拥抱;抱紧,,,,
302,302/1533,design,英[di'zain],,v.&n.设计;构思,,,,
303,303/1533,export,英[ik'spɒ:t],,v.&n.出口:输出,,,,
304,304/1533,damage,英['dæmidʒ],,v.&n.损害;毁坏,,,,
305,305/1533,comfort,英['kʌmfәt],,v.&n.(使)舒适;安慰,,,,
306,306/1533,cease,英[si:s],,v.&n.停止;终止
307,307/1533,decline,英[di'klain],,v.&n.下降;衰落;拒绝,,,,
308,308/1533,chat,英[tʃæt],,v.&n.闲谈;聊天,,,,
309,309/1533,envy,英['envi],,v.&n.羡慕;忌妒,,,,
310,310/1533,advocate,英['ædvәkeit],,v.提倡;主张n.提倡者,,,,
311,311/1533,bite,英[bait],,v.咬;叮n.咬伤,,,,
312,312/1533,claim,英[kleim],,v.&n.要求;声称;索赔,,,,
313,313/1533,rescue,英['reskju:],,v.&n.拯救;援救,,,,
314,314/1533,forecast,英['fɒ:kɑ:st],,v.&n.预测;预报,,,,
315,315/1533,desire,英[di'zaiә],,v.渴望;要求n.欲望,,,,
316,316/1533,recycle,英[.ri:'saikl],,v.再循环;重复利用n.再生,,,,
317,317/1533,debate,英[di'beit],,v.&n.争论;辩论,,,,
318,318/1533,protest,英[prә'test],,v.&n.反对;抗议(n),,,,
319,319/1533,grasp,英[græsp],,v.&n.抓住;掌握;领会,,,,
320,320/1533,wrestle,英['resl],,v.&n.摔跤;格斗;努力处理,,,,
321,321/1533,register,英['redʒistә],,v.&n.登记;注册;挂号,,,,
322,322/1533,struggle,英['strʌgl],,v.&n.斗争;拼搏;努力,,,,
323,323/1533,employ,英[im'plɒi],,v.&n.雇佣;使用,,,,
324,324/1533,hire,英[haiә],,v.&n.租用;雇佣,,,,
325,325/1533,border,英['bɒ:dә],,v.与……接壤n.边界,,,,
326,326/1533,decrease,英['di:kri:s],,v.&n.减少;降低,,,,
327,327/1533,contest,英['kɒntest],,v.&n.比赛;竞赛,,,,
328,328/1533,lack,英[læk],,v.&n.缺乏;不足,,,,
329,329/1533,harm,英[hɑ:m],,v.&n.伤害;损害;危害,,,,
330,330/1533,input,英['input],,v.&n.输入,,,,
331,331/1533,escape,英[i'skeip],,v.&n.逃走;逃脱;避开,,,,
332,332/1533,frost,英[frɒst],,v.&n.霜冻;(给蛋糕)撒糖霜,,,,
333,333/1533,demand,英[di'mɑ:nd],,v.&n.需要;请求,,,,
334,334/1533,encounter,英[in'kauntә],,v.&n.遭遇;遇到;邂逅,,,,
335,335/1533,battle,英['bætl],,v.&n.战争;斗争・;比赛,,,,
336,336/1533,comment,英['kɒment],,v.&n.意见;评论;注释,,,,
337,337/1533,volunteer,英[.vɒlәn'tiә],,v.自愿n.志愿者a.志愿的,,,,
338,338/1533,respect,英[ri'spekt],,v.&n.尊敬;尊重,,,,
339,339/1533,strike,英[straik],,v.打击n.罢工,,,,
340,340/1533,boost,英[bu:st],,v.&n.促进;增强;使……兴旺,,,,
341,341/1533,defeat,英[di'fi:t],,v.&n.击败;战胜,,,,
342,342/1533,shock,英[ʃɒk],,v.(使)震惊n.令人震惊的事,,,,
343,343/1533,ski,英[ski:],,v.滑雪n.雪橇,,,,
344,344/1533,hike,英[haik],,v.&n.徒步旅行;远足,,,,
345,345/1533,benefit,英['benifit],,v.有益于;受益n.利益,,,,
346,346/1533,aim,英[eim],,v.以...为目的:瞄准n.目的,,,,
347,347/1533,reward,英[ri'wɒ:d],,v.奖励n.回报;报酬,,,,
348,348/1533,guarantee,英[.gærәn'ti:],,v.&n.保证;担保,,,,
349,349/1533,handle,英[hændl],,v.处理n.手柄;把手,,,,
350,350/1533,graduate,英['grædʒueit],,v.大学毕业n.大学毕业生a.(攻读)研究生的,,,,
351,351/1533,arrest,英[ә'rest],,v.&n.逮捕;阻止,,,,
352,352/1533,sponsor,英['spɒnsә],,v.赞助;资助II.赞助者,,,,
353,353/1533,judge,英[dʒʌdʒ],,v.判断;审判n.法官;裁判员,,,,
354,354/1533,sail,英[seil],,v.&n.航行;起航,,,,
355,355/1533,root,英[ru:t],,v.生根n.根;根本,,,,
356,356/1533,conduct,英['kɔndʌkt],,v.进行;实施;指挥n.行为
357,357/1533,tackle,英['tækl],,v.处理;对付,,,,
358,358/1533,base,英[beis],,v.以……为基础;n.基础,,,,
359,359/1533,spy,英[spai],,v.当间谍;侦杳n.间谍,,,,
360,360/1533,limit,英['limit],,v.限定;限制n.界限,,,,
361,361/1533,focus,英['fәukәs],,v.集中于;聚焦n.焦点,,,,
362,362/1533,scare,英[skєә],,v.&n.惊恐;惊吓;害怕,,,,
363,363/1533,challenge,英['tʃælindʒ],,v.质疑;向……挑战n.挑战,,,,
364,364/1533,bomb,英[bɒm],,v.轰炸;投弹(于)n.炸弹,,,,
365,365/1533,wrinkle,英['riŋkl],,v.(使)起皱纹n.皱纹,,,,
366,366/1533,monitor,英['mɒnitә],,v.监视;监控n.监视器;班长,,,,
367,367/1533,regardless,英[ri'gɑ:dlis],,a.不管的;不顾的ad.无论如何,,,,
368,368/1533,junior,英['dʒu:njә],,a.年少的;初级的;n.大三学生,,,,
369,369/1533,equal,英['i:kwәl],,a.相等的;平等的v.等于n.对等,,,,
370,370/1533,amateur,英['æmәtә],,a.业余的n.业务爱好者,,,,
371,371/1533,calm,英[kɑ:m],,a.安静的n.风平浪静v.使...平静,,,,
372,372/1533,secure,英[si'kjuә],,a.安全的;严密保护的;v.争取到,,,,
373,373/1533,assistant,英[ә'sistәnt],,a.辅助的n.助手;助教,,,,
374,374/1533,pessimistic,英[.pesi'mistik],,a.悲观的;悲观主义的,,,,
375,375/1533,passive,英['pæsiv],,a.被动的;消极的,,,,
376,376/1533,native,英['neitiv],,a.本地的;天生的n.本地人,,,,
377,377/1533,essential,英[i'senʃәl],,a.必不可少的;本质的;至关重要的n.必需品,,,,
