word,explanation
入,入 (象形。甲骨文字形，象个尖头器具，尖头器具容易进入。本义进来，进去)同本义 入，内也。--《说文》他人入室。--《诗·唐风·山有枢》就不欲入。--《庄子·人间世》有蛇自泉宫出，入于国。--《左传·文公十六年》君为我呼入，吾得兄事之。--《史记·项羽本纪》鲁有执长竿入城门者。--三国魏·邯郸淳《笑林》又如入门问讳(到别人家里，先需了解人家先祖名讳，以便谈话);入对(进宫回答皇帝的问题);入览(看到);入迁(从外地迁到京城做官);入学(童生考取秀才);入山;入口;入帘(科举时期，考官进场阅卷入rù⒈进，收进，从外面进到里面，跟'出'相对～室。～场。～库。收～。量～为出。⒉参加～学。～会。～党。⒊合乎，合于～时。～情～理。⒋⒌⒍⒎
儿,儿 (象形。甲骨文字形，下面是人字，上面象小儿张口哭笑。儿是汉字部首之一，从儿的字大都与人有关。本义幼儿。古时男称儿，女称婴，后来孩童都称儿)同本义 儿，孺子也。--《说文》专气致柔，能如婴儿乎?--《老子》第九章老人儿啼。--《史记·循吏列传》男曰儿，女曰婴。--《苍颉篇》见两小儿辩斗。--《列子·汤问》又如儿女子(孩童);儿剧(犹儿戏);儿话(孩子话);儿撬(拐棍儿);儿拜(孩童对大人所行的礼拜);儿啼(小孩哭);儿孩(孩童)儿女，父母所生的子女，第一代后裔 儿 ér①小孩子婴～。②年轻人（多指青年男子）男～。③儿子～女。④词尾，同前一字连成一个卷舌音小孩～。【儿歌】儿童文学的一种。一般与童谣合称为儿童歌谣。儿歌是指反映儿童的生活和思想感情的诗歌。形式短小活泼，用辞简明，节奏明快，韵律响亮，适合儿童接受和传唱。童谣则指流传于儿童中间的歌谣。【儿化】〈语〉汉语普通话和某些方言中的一种语音现象，即后缀'儿'字不自成音节，而和前头的音节合在一起，使前一音节的韵母成为卷舌韵母。又叫儿化韵。【儿化韵】见【儿化】。【儿童节】见【六一儿童节】。【儿童文学】适合少年儿童阅读的各种体裁的文学作品。包括童话、诗歌、小说、故事、戏剧等形式，要求通俗易懂、生动活泼，适应不同年龄的少年儿童的智力和爱好。【儿童心理学】心理学分支之一。研究儿童心理发生、发展的一般规律及各年龄阶段的心理特征。【儿戏】像小孩子那么闹着玩。比喻对重要的工作或事情不负责、不认真视同～。儿rén 1.见《说文．儿部》。儿ní 1.'齯'的古字。参见'齯齿'。 2.姓『有儿宽。见《汉书》本传。
匕,匕 (象形。从二匕，匕亦声。甲骨文字形，象汤匙形『字部首之一。本义勺子。按一说匕象反人形，妣之初文)古代的一种取食器具，长柄浅斗，形状像汤勺 先主方食，失匕箸。(箸筷子)--《三国志·蜀志·先主传》又如比筋(羹匙与筷子)匕 bǐ①取食的器具先生方食，失～箸。（《三国志·蜀书·先主传》）②箭头～入者三寸。（《左传·昭公二十六年》）【匕首】短剑或窄的短刀。
几,几 (象形。本义古人席地而坐时有靠背的坐具)同本义 几，坐所以凭也。--《说文》掌五几五席之名物。--《周礼·司几筵》。注五几左右玉雕彤漆素。室中度以几，堂上度以筵。--《考工记·匠人》几杖，所以扶助衰也。--《白虎通·致仕》必操几杖以从之。--《礼记·曲礼》有司以几筵舍奠于墓左。--《礼记·檀弓》。疏依神也。或肆之筵，或授之几。--《诗·大雅·行苇》又如几杖(供老人依靠的小桌子和支撑用的手杖。古代赐几杖，表示敬老的礼节);几席(几和席，为古人凭依、几（幾）jǐ⒈疑问词。问数量～本书？～点钟？⒉〈表〉不定数她才二十～岁。只有～件衣服。⒊①多少曾～何时？②⒋见jī。几jì 1.通'冀'。期望，希望。 2.通'纪'。年岁。几qí 1.沂鄂。器物上的凹凸线纹。沂，凹纹;鄂，凸纹。 2.通'颀'。身长貌。
九,九 (指事。本义数词。比八大一的基数)同本义 古人造字以纪数，起于一，极于九，皆指事也。二三四为积画，余皆变化其体。--朱骏声《说文通训定声》乾玄用九，乃见天则。--《易·文言》传九者，阳之数，道之纲纪也。--《楚辞·九辨》序天道以九制。--《管子·五行》又如九伯(宋时把痴傻人叫九伯。也写作九百);小九九(珠算的乘法口诀;方言中比喻算计);九九(算法名。称一至九每二数相乘之数为九九;九的自乘数);九地(九种土地)第九 可数序列中第八加一的序数。如九连《周易》以阳爻为九初九，潜龙勿用九jiǔ⒈数目字～鼎。泛指多数、多次或多层～牛二虎之力。～死一生。～霄云外。⒉时令。九jiū 1.聚。
刁,刁 古代行军用具。一种有柄的小斗，白天可供一人烧饭，夜间敲击以巡更 刁 狡猾，奸诈 乖巧，机灵 这话实在刁的，说到我心里了。--《再生缘》有无赖特征 说话刻薄 口吃结巴 刁 diāo狡猾～顽。～姓。【刁悍】狡猾凶狠。【刁难】故意难为人。【刁钻】狡猾奸诈。
了,了〈助〉 le用在动词或形容词后，表示完成 了 〈语气〉表示肯定语气 表示促进或劝止 表示感叹语气 了 〈动〉(象形。从子，无臂。小篆字象婴儿束其两臂形。初生的婴儿，往往束其两臂而裹之。本义束婴儿两臂)手弯曲 了liǎo⒈懂得，明白～然。明～。～如指掌。不甚～ ～。⒉结束，完毕此事已～。没完没～。不～ ～之。⒊全，完全～无惧色。⒋在动词后，跟'不'、'得'连用，〈表〉可能，可以他做不～。她办得～。⒌①很明白，知道得很清楚。②调查，打听。⒍⒎①能干，厉害她可～得。②'能办'、'可以'的意思。多见于反诘句中，〈表〉不平常，严重那还～得。⒏了le⒈助词。①在动词或形容词后〈表〉事情完成买～两件衣服。节省～五斤汽油。②在句末或句中停顿的地方〈表〉肯定的语气天晴～。他走～。她想～许久，终于想起～那件事。算～，你们不必争吵～。
刀,刀 (象形。小篆字形，象刀形『字部首之一。本义古代兵器名)同本义 刀，兵也。象形。--《说文》刀，到也，以斩伐到其所乃击之也。--《释名》刀光照塞月，阵色明如昼。--唐·崔国辅《从军行》又如刀枪;刀兵;刀瘢(刀伤的褊)。泛指用来斩、割、切、削、砍、铡的工具 中刑用刀锯。--《国语·鲁语》有斧钺刀墨之民。--《国语·周语》帝自捉刀立床头。--《世说新语·容上》妻乃引刀趋机而言曰。--《后汉书·列女传》屠乃奔倚其下，弛担持刀。--《聊斋志异·狼三则》刀 dāo①用来切、割、削、砍、刺、铡的带刃的工具。一般用钢铁制造。②形状像刀的东西～币、冰～。③计算纸张的单位。通常为100张买两～宣纸。④姓。【刀笔】①有关公文案卷的事。②刀笔吏（办理文书的小官）的简称。【刀耕火种】一种原始的耕种方法，把地上的草木烧成灰做肥料，就地挖坑下种。【刀光剑影】形容激烈的厮杀、搏斗场面或杀气腾腾的境况。【刀山火海】比喻非常危险的境况。又作火海刀山。【刀术】武术器械练习之一。刀有朴刀、大刀、短刀数种。刀法有劈、砍、剁、挑、推、拔等等。对增强体力和灵敏性有良好作用。【刀俎】比喻宰割者或迫害者。俎砧板，切肉的菜板。
力,力〈名〉(象形。甲骨文字形，象耒形，有柄有尖，用以翻地。用耒表示执耒耕作需要花费力气。力是汉字部首之一。本义体力，力气)同本义 力，筋也。像人筋之形。--《说文》。筋下曰肉之力也。二篆为转注。筋者其体，力者其用也。其行之以货力。--《礼记·礼运》。注筋骸强者也。力农数耘。--《汉书·食货志》。注谓勤作之也。有力如虎，执辔如组。--《诗·邶风》力足以至焉，于人为可讥，而在己为有悔。--宋·王安石《游褒禅山记》以缚背刃，力上下，得绝。--唐·柳宗元《童区寄传》力lì⒈能量，效能～量。～气。视～。电～。能～。效～。生产～。身强～壮。⒉用极大的力量尽～。竭～。～争上游。⒊物理学名词。改变物体运动状态的作用叫做力。～的大小、方向和作用点是力的三要素。
乃,乃 你，你的 余嘉乃勋。--《左传·僖公十二年》几败乃公事。--《汉书·高帝纪上》谁谓乃公勇者?--《史记·淮南衡山传》王师北定中原日，家祭无忘告乃翁(父亲)。--陆游《示儿》又如乃父(乃翁。你的父亲);乃祖(你的祖父;先祖);乃公(你的父亲);乃兄他的 乃心在咸阳。--曹操《蒿里行》又如乃眷(他的妻子);乃尊(尊称别人的父亲);乃老(他的父亲);乃堂(他的母亲)此，这个 吾闻之，五子不满隅，一子可满朝，非乃子耶?--《晏子春秋》又如乃今(如今;从今);乃者(往日;从前)这样，如此 子无乃乃（迺、廼）nǎi⒈你，你的～父。～弟。⒉于是，这才河水浅，～涉水而过。经劝说～止。⒊是，就是非他～你。失败～成功之母。⒋竟～至如此。⒌却貌似稻苗，～是稗子。⒍只，仅天下胜者众矣，而霸者～五。⒎
又,又 (象形。甲骨文字形，象右手形，本左右的右。从又的字多与手的动作有关。本义右手) 同本义 又，手也，象形。--《说文》。段玉裁注此即今之右字。又 复，再，再一次 敝予又改为兮。--《诗·郑风·缁衣》天命不又。--《诗·小雅·小宛》又命之。--《仪礼·燕礼》又试之鸡。--《聊斋志异·促织》又如读了又读;又是他;又问;又起个窖儿(比喻多费了一道手续);又称;又说表示几种情况或性质同时存在 东出于陶邱北，又东至于荷，又东北会于汶，又北东又yòu副词。⒈再，更，〈表〉重复或继续她～立了大功。看了～看。野火烧不尽，春风吹～生。⒉〈表〉加重语气，更进一层你～不笨。天气闷热，～没有风。⒊〈表〉几项平列关系～红～专。～多～快～好～省。⒋〈表〉转折，有'可是'的意义想出去走走，～怕下大雨。⒌〈表〉有矛盾的两件事他～想去看画展，～想去看电影，拿不定主意。⒍〈表〉某种范围以外另有补充她领到奖状，～领到奖金。⒎再加上，还有二十～六年。二～三分之一。
三,三〈数〉(指事。本义数目。二加一的和)同本义 三，天地人之道也。从三数。--《说文》三，数名。--《广韵》二与一为三。--《庄子·齐物论》一生二，二生三，三生万物。--《老子》王三赐命。--《易·师》。荀注三者阳德成也。结恨三泉。--《后汉书·袁绍传》。注三者数之小终。有不速之客三人来。--《易·需》纪之以三。--《国语·周语下》狡兔有三窟，仅得免其死耳。--《战国策》又如三叉(三歧的道路);三木(古时套在犯人颈、手、足上的刑具);三节(农历二月一日中和节、三月三上巳节、九三sān⒈数目字～个。～人行必有我师。⒉多次再～叮嘱。～番五次。～思而行。～令五申。～复斯言。⒊［三甲］〈古〉'殿试'中榜者（进士）的三个等级。宋朝太平兴国八年将殿试的中榜者，分为三等即'三甲'。一甲，赐'进士及第'；二甲，赐'进士出身'；三甲，赐'同进士出身'。每甲各取有若干名，统称进士。元、明、清，殿试的中榜者，一甲只取有三名，二甲、三甲则各取有若干名。一甲的第一名叫状元，第二名叫榜眼，第三名叫探花。三sàn 1.多次;再三。
干,干〈名〉(象形。甲骨文字形，象叉子一类的猎具、武器，本是用于进攻的，后来用于防御。本义盾牌)同本义 盾，自关而东或谓之干。--《方言》九朱干玉戚以舞大武。--《礼记·祭统》。注朱干，赤盾。司干。--《周礼·春官·序官》礼义以为干橹。--《礼记·儒行》。注干橹，小榡大榡也。能执干戈以卫社稷。--《礼记·檀弓下》乃修教三年，执干戚舞，有苗乃服。--《韩非子·五蠹》又如∶干羽(盾牌和雉羽，供乐舞之用);干革(干即盾;革即甲胄类。泛指兵器);干橹(小盾大盾);干戎(兵戎。通称兵器、军队)岸;水畔干gān⒈盾牌执～。～戈（泛指兵器）。⒉冒犯，冲犯～法官。〈引〉冲哭声直上～云霄。⒊牵连，涉及～连。不相～。⒋强行过问，硬管～涉。～预。⒌求取，追求～求。⒍ 岸，水边湖～。江～。⒎⒏⒐⒑⒒。⒓无水份或少水份的，跟'湿'相对～燥。～谷子。～麦草秆。⒔水份少的食品饼～儿。豆腐～。⒕尽净，枯竭，空虚～杯。～涸。外强中～。⒖徒劳，白白地～坐。～等这么久。不要～着急。⒗拜认的亲属关系～爸爸。～女。⒘待慢，不理睬真没想到，他会～起我们。⒙忿恨话，使对方难堪他～了我一顿。'乾'另见qián㈠。⒚干gàn⒈主体，重要的部分树～。躯～。⒉做，办，搞～事。说～就～。大～快上。⒊有才能的，善于办事的～练。才～。⒋⒌干部（公务员）的简称～群关系。⒍〈方〉坏，糟这事办～了。干hán 1.井垣，井栏。干gǎn 1.小竹。
于,于〈动〉(象形。甲骨文字形，表示气出受阻而仍越过。本义超过)往;去 之子于归，宜其室家。--《诗·周南·桃夭》。毛传于，往也。予惟以尔庶邦于伐殷，逋播臣。--《书·大诰》取 昼尔于茅，宵尔索陶。--《诗·豳风·七月》如;好像 《易》曰介于石，不终日，贞吉。介如石焉，宁用终日，断可识矣。--《易·系辞下》又如于何(如何)于 引进动作、行为的时间、处所，意义相当于在、到或在…方面(上、中) 捐金于野。--《后汉书·列女传》又成于机杼。射于家于yú⒈介词。①引出动作的处所、时间和对象，义同'在'、'到'、'从'、'给'、'向'、'对'等生～北京。光荣归～人民。～此向前。己所不欲，勿施～人。请教～人。～民有益。～国有利。严～律己。②用在形容词后〈表〉比较，义同'过'大～。重～。高～。人浮～事。③用在动词后〈表〉被动见笑～大方。④自，由来～民间。出～自觉。⒉?吰???呵醩?????嗢氺?磾?罈辝串?雟l哷亲?????????呰???摧???亯?????懷^澡?吒??駝?浉靼?洜d亯???磾咳熌l?缃浉?酉耡浉?洶懢\汴??綷??咛????澖???醩亰?鋖?煪閎l哷亲?閚?^??譳?聦?各矐洺??澖??醩亰?鋖?鈕?^鎠憯?缇??魔l澏^緛洶戅e??浤фk???吰粑?閔醩??鋖?咚呈吵?亰枙祄^周??喤l涺?镪?吸?于xū 1.见'于嗟'﹑'于咨'。于wū 1.鸟名。参见'于鹊'。 2.叹词。?吰???呵醩?????嗢氺?磾?罈辝串?雟l哷亲?????????呰???摧???亯?????懷^澡?吒??駝?浉靼?洜d亯???磾咳熌l?缃浉?酉耡浉?洶懢\汴??綷??咛????澖???醩亰?鋖?煪閎l哷亲?閚?^??譳?聦?各矐洺??澖??醩亰?鋖?鈕?^鎠憯?缇??魔l澏^緛洶戅e??浤фk???吰粑?閔醩??鋖?咚呈吵?亰枙祄^周??喤l涺?镪?吸?于xū 1.见'于嗟'﹑'于咨'。于yú⒈介词。①引出动作的处所、时间和对象，义同'在'、'到'、'从'、'给'、'向'、'对'等生～北京。光荣归～人民。～此向前。己所不欲，勿施～人。请教～人。～民有益。～国有利。严～律己。②用在形容词后〈表〉比较，义同'过'大～。重～。高～。人浮～事。③用在动词后〈表〉被动见笑～大方。④自，由来～民间。出～自觉。⒉懷^澡?吒??駝?浉靼?洜d亯???磾咳熌l?缃浉?酉耡浉?洶懢\汴??綷??咛????澖???醩亰?鋖?煪閎l哷亲?閚?^??譳?聦?各矐洺??澖??醩亰?鋖?鈕?^鎠憯?缇??魔l澏^緛洶戅e??浤фk???吰粑?閔醩??鋖?咚呈吵?亰枙祄^周??喤l涺?镪?吸?于yū 1.广大。于yī 1.见'于微闾'。
亏,亏 (形声。从亏。本义气损)同本义 亏，气损也。--《说文》。段注引申凡损皆曰亏。又如亏柔(犹虚弱);亏退(衰退止息)欠缺，短少(应该有的而缺少)。与盈、满相对 虽监门之服养不亏于此。--《韩非子·五蠹》为山九仞，巧亏一篑。--《书·旅獒》日极则仄，月满则亏。--《管子·白心》又如亏失(缺失);亏欠(欠了人情);亏累(债务;亏损);亏紊(亏缺紊乱);亏替(亏缺衰败)损耗，损害 贿秦而力亏。--宋·苏洵《权书·六国论》又如亏（虧）kuī⒈欠缺，短少～斤少两。自感理～。月满则～。功～一篑。⒉损耗，损失～损。～本。吃～（遭受损失）。⒊亏负，对不起不做～心事。他不会～人。⒋幸而，多亏幸～。这件事～你帮忙。⒌〈表〉讥讽～你干得出来！⒍毁坏，损害不～不崩。～败风俗。
工,工 (象形。甲骨文字形，象工具形。工、巨(矩)古同字，有规矩，即持有工具。本义工匠的曲尺)同本义 工，巧饰也，象人有规榘也。--《说文》许君谓工象人有规榘，说颇难通，以巧饰训工，殆非朔义。以愚观之，工盖器物之名也。知者《工部》巨下云规巨也，从工，象手持之。按工为器物，故人能以手持之，若工第为巧饰，安能手持乎…以字形考之，工象曲尺之形，盖即曲尺也。--杨树达《积微居小学述林》工匠;工人。古代对从事各种技艺的劳动者的总称;现代为工人和工人阶级的总称 凡攻木工gōng⒈工人煤矿～。纺织～。技术～。～农兵。⒉工业～商界。学～学农。⒊做事，操作，生产～作。做～。手～。开～。半～半读。⒋一个劳动力一天的工作做了三个～。修这个花台需要一百个～才能完成。⒌精细，精巧～整。～致。～笔画。异曲同～。〈引〉善于，善长～于书画。⒍①时间，时候两天～夫。②本领，造诣这是真～夫。⒎旧时乐谱记音符号之一，相当于简谱的'3'。⒏
土,土〈名〉(象形。甲骨文字形，上象土块，下象地面。金文中空廓变填实，小篆又变为线条。本义泥土，土壤)同本义。沉积于地面上的泥沙混合物。潮湿时称泥土，地质学上称土壤 土，地之吐生物者也。--《说文》百谷草木丽乎土。--《易·彖传》禹敷土。--《书·禹贡》辨十有二土之名物。--《周礼·大司徒》君之视臣为土芥，则臣视君如寇仇。--《孟子·离娄》焉置土石。--《列子·汤问》如土石何。不若燔土。--宋·沈括《梦溪笔谈·活板》土膏微润。--明·袁宏道《满井游记》又如土粉(粉刷墙壁用的白垩土tǔ⒈沙泥等的混合物～壤。沙～。泥～。粘～。积～成山。⒉地域国～。领～。⒊故乡，本地的～籍。～话。乡～。年老思～。～生～长。⒋民间生产的，出自民间的～产。～布。～专家。⒌不开通，不时兴～头～脑。～里～气。⒍五行（金木水火～）之一。⒎①世世代代居住在一定地方的人。②世居本地的人。⒏⒐土dù 1.根。《诗．豳风．鸱鸮》'迨天之未阴雨，彻彼桑土，绸缪牖户。'陆德明释文'土，音杜……《韩诗》作杜，义同。《方言》云'东齐谓根曰杜。''一说，指根之皮。 2.通'杜'。古水名。土chǎ 1.见'土苴'。土tú 1.《字汇补．土部》'土门，北方之族也。'参见'土门'。
士,士〈名〉(会意。从一，从十。善于做事情，从一开始，到十结束。本义古代男子的美称)同本义 士，事也。--《说文》通古今，辩然不，谓之士。--《白虎通·爵》学以居位曰士。--《汉书·食货志》以才智用者谓之士。--《后汉书·仲长统传》太子晋，胄成人，能治上官，谓之士。--《周书》是以为大夫卿士。--《书·牧誓》列国之大夫，入天子之国，曰某士。--《礼记·曲礼》其士女之问桃叶渡游雨花台者，趾相错也。--《马伶传》尝试语于众曰某良士，某良士。其应者必其人之与也。--唐·韩士shì⒈〈古〉指男子，特指未婚男子以谷我～女（谷养活）。⒉我国商、周时代贵族的最低一级，介于卿大夫和庶民之间的一个阶层。⒊指读书人学～。硕～。～农工商。⒋军衔名。在尉级以下上～。中～。又泛指军人战～。激励～气。⒌具有某种专业技术或某种品质的人护～。技～。院～。以（因）才智用者谓之～。⒍对人的美称人～。壮～。烈～。
才,才 (象形。甲骨文字形，上面一横表示土地，下面象草木的茎(嫩芽)刚刚出土，其枝叶尚未出土的样子。本义草木初生)同本义 才，草木之初也。--《说文》有才能;有本领 试使斗而才。--《聊斋志异·促织》又如才郎(有才学的郎君);才哲(才智卓越的人);才雄(杰出的人才);才英(指才华杰出的文人);才杰(杰出的人才)才 才力;才能 任人之才。--《淮南子·主术》虽才高于世，而无骄尚之情。--《后汉书·张衡传》况刘豫州王室之胄，英才盖世。--《资治通鉴》又如才伐(才力门望);才 cái①才能怀～不遇。②有才能的人奇～。③表示以前不久他昨天～走。④表示只有在某种条件下然后怎样（前面常用'只有、必须'或含有此类意思）只有你作这事，我～放心。⑤表示本来并不如此的新情况直到天亮，我～知道迷路了。⑥表示事情发生得晚或结束得晚你怎么～来⑦对比起来表示数量小，次数少，能力差等他刚来北京的时候～三岁。⑧表示强调所说的事（句尾常用'呢'字）他唱得～好呢！⑨姓。【才华】表现出来的才能（多指文艺方面）～出众。【才略】政治或军事上的才干和智谋～过人。【才气过人】才华超过一般人。【才识】才能和见识。【才疏学浅】见识少，学问不深（多用做自谦语）。【才思】指文艺创作的能力～敏捷。【才智】才能和智慧。【才子】具有很高才干的人。才zāi 1.语气词。
